,Title,Topic Label,Accetpance,Difficulty,Frequency,Accepted,Submissions,Premium
0,208. Implement Trie (Prefix Tree),"['Hash Table', 'String', 'Design', '1+']",62.50%,Medium,26.1195%;,786.6K,1.3M,Y
1,1. Two Sum,"['Array', 'Hash Table']",49.60%,Easy,99.4833%;,9.2M,18.5M,
2,2. Add Two Numbers,"['Linked List', 'Math', 'Recursion']",40.30%,Medium,94.8402%;,3.5M,8.7M,
3,3. Longest Substring Without Repeating Characters,"['Hash Table', 'String', 'Sliding Window']",33.80%,Medium,95.2438%;,4.3M,12.8M,
4,4. Median of Two Sorted Arrays,"['Array', 'Binary Search', 'Divide and Conquer']",36.10%,Hard,92.7477%;,1.8M,5.1M,
5,5. Longest Palindromic Substring,"['String', 'Dynamic Programming']",32.40%,Medium,96.1759%;,2.3M,7.2M,
6,6. Zigzag Conversion,['String'],44.80%,Medium,87.2142%;,996.2K,2.2M,
7,7. Reverse Integer,['Math'],27.40%,Medium,90.6736%;,2.5M,9.1M,
8,8. String to Integer (atoi),['String'],16.60%,Medium,60.4849%;,1.2M,7.3M,
9,9. Palindrome Number,['Math'],53.50%,Easy,93.3893%;,3M,5.6M,
10,10. Regular Expression Matching,"['String', 'Dynamic Programming', 'Recursion']",28.00%,Hard,70.2527%;,795.2K,2.8M,
11,11. Container With Most Water,"['Array', 'Two Pointers', 'Greedy']",54.00%,Medium,88.3469%;,2M,3.7M,
12,12. Integer to Roman,"['Hash Table', 'Math', 'String']",61.90%,Medium,84.2086%;,956.2K,1.5M,
13,13. Roman to Integer,"['Hash Table', 'Math', 'String']",58.50%,Easy,100%;,2.5M,4.3M,
14,14. Longest Common Prefix,"['String', 'Trie']",40.80%,Easy,93.7965%;,2.3M,5.5M,
15,15. 3Sum,"['Array', 'Two Pointers', 'Sorting']",32.50%,Medium,91.7861%;,2.6M,7.9M,
16,16. 3Sum Closest,"['Array', 'Two Pointers', 'Sorting']",45.80%,Medium,72.4978%;,1M,2.2M,
17,17. Letter Combinations of a Phone Number,"['Hash Table', 'String', 'Backtracking']",56.40%,Medium,85.3666%;,1.5M,2.7M,
18,18. 4Sum,"['Array', 'Two Pointers', 'Sorting']",36.00%,Medium,79.0683%;,716.6K,2M,
19,19. Remove Nth Node From End of List,"['Linked List', 'Two Pointers']",40.90%,Medium,65.8998%;,1.9M,4.7M,
20,20. Valid Parentheses,"['String', 'Stack']",40.30%,Easy,98.3142%;,3.1M,7.8M,
21,21. Merge Two Sorted Lists,"['Linked List', 'Recursion']",62.50%,Easy,84.6367%;,3.1M,4.9M,
22,22. Generate Parentheses,"['String', 'Dynamic Programming', 'Backtracking']",72.40%,Medium,88.7057%;,1.4M,1.9M,
23,23. Merge k Sorted Lists,"['Linked List', 'Divide and Conquer', '2+']",49.70%,Hard,76.2647%;,1.6M,3.2M,
24,24. Swap Nodes in Pairs,"['Linked List', 'Recursion']",61.20%,Medium,48.976%;,1.1M,1.7M,
25,25. Reverse Nodes in k-Group,"['Linked List', 'Recursion']",54.50%,Hard,73.991%;,669.7K,1.2M,
26,26. Remove Duplicates from Sorted Array,"['Array', 'Two Pointers']",51.50%,Easy,80.0242%;,2.9M,5.5M,
27,27. Remove Element,"['Array', 'Two Pointers']",52.90%,Easy,53.5173%;,1.7M,3.2M,
28,28. Find the Index of the First Occurrence in a String,"['Two Pointers', 'String', 'String Matching']",38.90%,Easy,51.9971%;,1.6M,4.2M,
29,29. Divide Two Integers,"['Math', 'Bit Manipulation']",17.20%,Medium,53.8387%;,589.7K,3.4M,
30,30. Substring with Concatenation of All Words,"['Hash Table', 'String', 'Sliding Window']",31.20%,Hard,41.6218%;,338.9K,1.1M,
31,31. Next Permutation,"['Array', 'Two Pointers']",37.50%,Medium,88.6686%;,1M,2.7M,
32,32. Longest Valid Parentheses,"['String', 'Dynamic Programming', 'Stack']",32.80%,Hard,68.491%;,603.7K,1.8M,
33,33. Search in Rotated Sorted Array,"['Array', 'Binary Search']",38.90%,Medium,77.7491%;,2M,5M,
34,34. Find First and Last Position of Element in Sorted Array,"['Array', 'Binary Search']",41.80%,Medium,72.7029%;,1.5M,3.5M,
35,35. Search Insert Position,"['Array', 'Binary Search']",43.30%,Easy,70.3158%;,2.1M,4.8M,
36,36. Valid Sudoku,"['Array', 'Hash Table', 'Matrix']",58.00%,Medium,79.7168%;,1.1M,1.8M,
37,37. Sudoku Solver,"['Array', 'Hash Table', 'Backtracking', '1+']",57.60%,Hard,67.7355%;,444.6K,772.4K,
38,38. Count and Say,['String'],52.00%,Medium,82.328%;,771.2K,1.5M,
39,39. Combination Sum,"['Array', 'Backtracking']",68.50%,Medium,73.3842%;,1.4M,2.1M,
40,40. Combination Sum II,"['Array', 'Backtracking']",53.40%,Medium,58.574%;,719.6K,1.3M,
41,41. First Missing Positive,"['Array', 'Hash Table']",36.70%,Hard,83.9029%;,851.4K,2.3M,
42,42. Trapping Rain Water,"['Array', 'Two Pointers', '3+']",59.20%,Hard,97.2093%;,1.5M,2.5M,
43,43. Multiply Strings,"['Math', 'String', 'Simulation']",39.10%,Medium,58.7205%;,642.6K,1.6M,
44,44. Wildcard Matching,"['String', 'Dynamic Programming', 'Greedy', '1+']",26.90%,Hard,63.1715%;,460.7K,1.7M,
45,45. Jump Game II,"['Array', 'Dynamic Programming', 'Greedy']",39.80%,Medium,79.1252%;,860.8K,2.2M,
46,46. Permutations,"['Array', 'Backtracking']",75.60%,Medium,70.5927%;,1.5M,2M,
47,47. Permutations II,"['Array', 'Backtracking']",57.30%,Medium,51.5881%;,768K,1.3M,
48,48. Rotate Image,"['Array', 'Math', 'Matrix']",70.90%,Medium,82.8101%;,1.2M,1.7M,
49,49. Group Anagrams,"['Array', 'Hash Table', 'String', '1+']",66.70%,Medium,86.7101%;,1.9M,2.8M,
50,"50. Pow(x, n)","['Math', 'Recursion']",33.00%,Medium,76.3335%;,1.2M,3.5M,
51,51. N-Queens,"['Array', 'Backtracking']",64.10%,Hard,76.5013%;,524.5K,818.8K,Y
52,52. N-Queens II,['Backtracking'],71.50%,Hard,28.6852%;,302.9K,423.3K,Y
53,53. Maximum Subarray,"['Array', 'Divide and Conquer', '1+']",50.20%,Medium,91.707%;,3.1M,6.1M,Y
54,54. Spiral Matrix,"['Array', 'Matrix', 'Simulation']",44.80%,Medium,86.8368%;,985.5K,2.2M,Y
55,55. Jump Game,"['Array', 'Dynamic Programming', 'Greedy']",38.90%,Medium,80.6475%;,1.3M,3.5M,Y
56,56. Merge Intervals,"['Array', 'Sorting']",46.20%,Medium,94.3234%;,1.8M,4M,Y
57,57. Insert Interval,['Array'],39.00%,Medium,75.0227%;,738.6K,1.9M,Y
58,58. Length of Last Word,['String'],42.70%,Easy,53.7643%;,1.1M,2.5M,Y
59,59. Spiral Matrix II,"['Array', 'Matrix', 'Simulation']",67.30%,Medium,47.9734%;,427.8K,635.7K,Y
60,60. Permutation Sequence,"['Math', 'Recursion']",44.30%,Hard,56.8276%;,319.4K,720.7K,Y
61,61. Rotate List,"['Linked List', 'Two Pointers']",36.10%,Medium,49.1222%;,698.4K,1.9M,Y
62,62. Unique Paths,"['Math', 'Dynamic Programming', 'Combinatorics']",62.60%,Medium,66.3292%;,1.3M,2.1M,Y
63,63. Unique Paths II,"['Array', 'Dynamic Programming', 'Matrix']",39.40%,Medium,52.1082%;,661.1K,1.7M,Y
64,64. Minimum Path Sum,"['Array', 'Dynamic Programming', 'Matrix']",61.10%,Medium,61.3117%;,859.1K,1.4M,Y
65,65. Valid Number,['String'],18.70%,Hard,45.8149%;,301.2K,1.6M,Y
66,66. Plus One,"['Array', 'Math']",43.60%,Easy,63.4954%;,1.6M,3.7M,Y
67,67. Add Binary,"['Math', 'String', 'Bit Manipulation', '1+']",52.40%,Easy,76.3362%;,1.1M,2.1M,Y
68,68. Text Justification,"['Array', 'String', 'Simulation']",37.40%,Hard,82.241%;,288.2K,771.4K,Y
69,69. Sqrt(x),"['Math', 'Binary Search']",37.40%,Easy,73.0085%;,1.4M,3.8M,Y
70,70. Climbing Stairs,"['Math', 'Dynamic Programming', 'Memoization']",52.20%,Easy,87.4202%;,2.3M,4.3M,Y
71,71. Simplify Path,"['String', 'Stack']",39.30%,Medium,69.3135%;,494.6K,1.3M,Y
72,72. Edit Distance,"['String', 'Dynamic Programming']",54.30%,Hard,73.2765%;,629.2K,1.2M,Y
73,73. Set Matrix Zeroes,"['Array', 'Hash Table', 'Matrix']",51.10%,Medium,70.9991%;,946.6K,1.9M,Y
74,74. Search a 2D Matrix,"['Array', 'Binary Search', 'Matrix']",47.60%,Medium,64.6589%;,1.2M,2.4M,Y
75,75. Sort Colors,"['Array', 'Two Pointers', 'Sorting']",58.40%,Medium,66.1308%;,1.4M,2.3M,Y
76,76. Minimum Window Substring,"['Hash Table', 'String', 'Sliding Window']",40.90%,Hard,72.7888%;,981.4K,2.4M,Y
77,77. Combinations,['Backtracking'],66.90%,Medium,45.6491%;,649.4K,970.8K,Y
78,78. Subsets,"['Array', 'Backtracking', 'Bit Manipulation']",74.80%,Medium,68.4793%;,1.4M,1.9M,Y
79,79. Word Search,"['Array', 'Backtracking', 'Matrix']",40.20%,Medium,78.2503%;,1.2M,3.1M,Y
80,80. Remove Duplicates from Sorted Array II,"['Array', 'Two Pointers']",52.20%,Medium,36.9734%;,492.9K,944K,Y
81,81. Search in Rotated Sorted Array II,"['Array', 'Binary Search']",35.70%,Medium,49.1455%;,499K,1.4M,Y
82,82. Remove Duplicates from Sorted List II,"['Linked List', 'Two Pointers']",45.90%,Medium,51.2185%;,586.2K,1.3M,Y
83,83. Remove Duplicates from Sorted List,['Linked List'],50.50%,Easy,51.7889%;,1.1M,2.2M,Y
84,84. Largest Rectangle in Histogram,"['Array', 'Stack', 'Monotonic Stack']",42.50%,Hard,72.9375%;,647.3K,1.5M,Y
85,85. Maximal Rectangle,"['Array', 'Dynamic Programming', 'Stack', '2+']",44.70%,Hard,55.7607%;,338.2K,757.1K,Y
86,86. Partition List,"['Linked List', 'Two Pointers']",51.90%,Medium,31.6844%;,441.5K,850.3K,Y
87,87. Scramble String,"['String', 'Dynamic Programming']",36.10%,Hard,28.9747%;,162.6K,450K,Y
88,88. Merge Sorted Array,"['Array', 'Two Pointers', 'Sorting']",46.50%,Easy,71.9566%;,1.9M,4.1M,Y
89,89. Gray Code,"['Math', 'Backtracking', 'Bit Manipulation']",57.10%,Medium,37.9704%;,258.3K,452.6K,Y
90,90. Subsets II,"['Array', 'Backtracking', 'Bit Manipulation']",55.80%,Medium,50.7348%;,676.3K,1.2M,Y
91,91. Decode Ways,"['String', 'Dynamic Programming']",32.70%,Medium,79.6318%;,990.7K,3M,Y
92,92. Reverse Linked List II,['Linked List'],45.40%,Medium,54.6227%;,618.8K,1.4M,Y
93,93. Restore IP Addresses,"['String', 'Backtracking']",47.30%,Medium,82.4366%;,394.9K,834.7K,Y
94,94. Binary Tree Inorder Traversal,"['Stack', 'Tree', 'Depth-First Search', '1+']",73.70%,Easy,53.4561%;,1.9M,2.6M,Y
95,95. Unique Binary Search Trees II,"['Dynamic Programming', 'Backtracking', '3+']",52.30%,Medium,49.3177%;,348.1K,665.7K,Y
96,96. Unique Binary Search Trees,"['Math', 'Dynamic Programming', 'Tree', '2+']",59.60%,Medium,59.7872%;,560K,939.2K,Y
97,97. Interleaving String,"['String', 'Dynamic Programming']",37.30%,Medium,52.6964%;,369.2K,989.4K,Y
98,98. Validate Binary Search Tree,"['Tree', 'Depth-First Search', '2+']",32.00%,Medium,66.3285%;,1.9M,5.8M,Y
99,99. Recover Binary Search Tree,"['Tree', 'Depth-First Search', '2+']",50.90%,Medium,52.6068%;,385.8K,757.9K,Y
100,100. Same Tree,"['Tree', 'Depth-First Search', '2+']",58.10%,Easy,52.4755%;,1.5M,2.5M,Y
101,101. Symmetric Tree,"['Tree', 'Depth-First Search', '2+']",54.20%,Easy,54.2297%;,1.6M,2.9M,Y
102,102. Binary Tree Level Order Traversal,"['Tree', 'Breadth-First Search', 'Binary Tree']",64.20%,Medium,55.8733%;,1.7M,2.7M,Y
103,103. Binary Tree Zigzag Level Order Traversal,"['Tree', 'Breadth-First Search', 'Binary Tree']",56.80%,Medium,65.3332%;,935.2K,1.6M,Y
104,104. Maximum Depth of Binary Tree,"['Tree', 'Depth-First Search', '2+']",73.90%,Easy,59.8061%;,2.3M,3.1M,Y
105,105. Construct Binary Tree from Preorder and Inorder Traversal,"['Array', 'Hash Table', 'Divide and Conquer', '2+']",61.50%,Medium,43.9476%;,939.4K,1.5M,Y
106,106. Construct Binary Tree from Inorder and Postorder Traversal,"['Array', 'Hash Table', 'Divide and Conquer', '2+']",59.90%,Medium,0.851971%;,514.5K,859.5K,Y
107,107. Binary Tree Level Order Traversal II,"['Tree', 'Breadth-First Search', 'Binary Tree']",61.10%,Medium,7.54358%;,568.4K,930.8K,Y
108,108. Convert Sorted Array to Binary Search Tree,"['Array', 'Divide and Conquer', 'Tree', '2+']",69.80%,Easy,44.1726%;,965.2K,1.4M,Y
